attack_MNIST_p0.1
    last 2 stats in final epoch
    i=220: accuracy 97.88, attack success rate 98.97
    i=230: accuracy 97.84, attack success rate 99.87

attack_MNIST_p0.3
    last 2 stats in final epoch
    i=220: accuracy 97.63, attack success rate 99.14
    i=230: accuracy 97.52, attack success rate 100.0

attack_MNIST_p0.5
    last 2 stats in final epoch
    i=220: accuracy 97.34, attack success rate 99.95
    i=230: accuracy 96.99, attack success rate 100.0

defense_MNIST_p0.1_qt0.0
    last 2 epochs
    i=0: accuracy 97.17, attack success rate 11.76, avg_weight_poisoned 1.042458415031433
    i=10: accuracy 97.33, attack success rate 11.65, avg_weight_poisoned 1.0046024322509766
    i=20: accuracy 97.23, attack success rate 11.45, avg_weight_poisoned 0.9319143295288086
    i=30: accuracy 97.25, attack success rate 11.7, avg_weight_poisoned 1.0518321990966797
    i=40: accuracy 97.31, attack success rate 11.75, avg_weight_poisoned 1.083277940750122
    i=50: accuracy 97.16, attack success rate 12.06, avg_weight_poisoned 1.0383870601654053
    i=60: accuracy 97.12, attack success rate 12.16, avg_weight_poisoned 0.9902249574661255
    i=70: accuracy 97.27, attack success rate 11.58, avg_weight_poisoned 0.987389862537384
    i=80: accuracy 97.08, attack success rate 12.17, avg_weight_poisoned 1.0111663341522217
    i=90: accuracy 97.38, attack success rate 11.78, avg_weight_poisoned 0.9713760614395142
    i=100: accuracy 97.38, attack success rate 12.12, avg_weight_poisoned 1.0389460325241089
    i=110: accuracy 97.54, attack success rate 11.79, avg_weight_poisoned 0.964421272277832
    i=120: accuracy 97.48, attack success rate 11.76, avg_weight_poisoned 1.1329063177108765
    i=130: accuracy 97.25, attack success rate 12.39, avg_weight_poisoned 1.0134456157684326
    i=140: accuracy 97.33, attack success rate 11.97, avg_weight_poisoned 0.9066921472549438
    i=150: accuracy 97.01, attack success rate 11.46, avg_weight_poisoned 0.8845301866531372
    i=160: accuracy 97.52, attack success rate 11.56, avg_weight_poisoned 0.9710954427719116
    i=170: accuracy 97.45, attack success rate 11.65, avg_weight_poisoned 1.010825276374817
    i=180: accuracy 97.02, attack success rate 13.47, avg_weight_poisoned 1.038999319076538
    i=190: accuracy 96.94, attack success rate 12.16, avg_weight_poisoned 0.9602251052856445
    i=200: accuracy 97.4, attack success rate 12.86, avg_weight_poisoned 1.0460630655288696
    i=210: accuracy 97.27, attack success rate 12.4, avg_weight_poisoned 1.0588325262069702
    i=220: accuracy 97.06, attack success rate 14.58, avg_weight_poisoned 1.0118114948272705
    i=230: accuracy 97.34, attack success rate 12.65, avg_weight_poisoned 0.9611698985099792
    i=0: accuracy 97.2, attack success rate 13.31, avg_weight_poisoned 1.00023353099823
    i=10: accuracy 97.23, attack success rate 15.15, avg_weight_poisoned 1.0620195865631104
    i=20: accuracy 97.46, attack success rate 13.71, avg_weight_poisoned 1.028073787689209
    i=30: accuracy 97.24, attack success rate 20.55, avg_weight_poisoned 1.0011181831359863
    i=40: accuracy 97.17, attack success rate 24.03, avg_weight_poisoned 1.060341715812683
